accuracy,macro_precision,macro_recall,macro_f1,per_class_f1,params,model_size_kb,train_time_sec,route,student,seed,protocol,pipeline_macro_f1,delta_vs_pipeline,rf_calibration_time_sec
0.9880604982206406,0.9121394829016044,0.9431814918331817,0.9263787611030958,"[0.8717466290373158, 0.9421800947867298, 0.8893577121425222, 0.9974190129441899, 0.9311903566047213]",3397,13.26953125,87.30292530000588,D_Small_MLP,B,456,per_route_set_seed,0.9184135930380389,0.007965168065056871,
0.989306049822064,0.9283057450366116,0.9420365802712667,0.9341295529370166,"[0.8736942070275404, 0.9539347408829175, 0.8913910391742904, 0.998019530177654, 0.9536082474226805]",3397,13.26953125,133.15100130000064,E_KD_from_RF,B,456,per_route_set_seed,0.9503661153015115,-0.01623656236449489,57.824254799998016
0.9808185053380782,0.8766494877133452,0.9358977903892318,0.9041185064274133,"[0.8545454545454545, 0.935969868173258, 0.8063364569388666, 0.9940925112734577, 0.9296482412060302]",1189,4.64453125,99.62557379999635,D_Small_MLP,A,789,per_route_set_seed,0.9073548996655656,-0.0032363932381522797,
0.9841637010676156,0.8968228772760496,0.9114544302145106,0.9028789932871755,"[0.7873868248517015, 0.9548511047070125, 0.8231404958677686, 0.997960384389096, 0.9510561566202989]",1189,4.64453125,130.36170549999952,E_KD_from_RF,A,789,per_route_set_seed,0.9205531658177485,-0.017674172530573018,57.262402599997586
0.988932384341637,0.917444048035696,0.9509310626008542,0.9323935382978442,"[0.8927250308261405, 0.9421800947867298, 0.8999525841631105, 0.9973206136089273, 0.9297893681043129]",3397,13.26953125,95.72047410000232,D_Small_MLP,B,789,per_route_set_seed,0.9363861765823744,-0.0039926382845302255,
0.9877935943060498,0.9188389443127575,0.932666366547901,0.9240647218369054,"[0.8452012383900929, 0.9530201342281879, 0.8683834048640916, 0.9981862567280071, 0.9555325749741469]",3397,13.26953125,132.7342514999982,E_KD_from_RF,B,789,per_route_set_seed,0.9389774512393881,-0.014912729402482783,57.262402599997586
0.986779359430605,0.9023147030605356,0.9401650133179984,0.9191464101414304,"[0.8633578431372549, 0.935969868173258, 0.8751486325802615, 0.9971040102095912, 0.9241516966067864]",1189,4.64453125,99.33215210000344,D_Small_MLP,A,1001,per_route_set_seed,0.8980606562713562,0.021085753870074164,
0.9860142348754448,0.9089439398297637,0.9212024615055192,0.9143188960111079,"[0.8138639281129654, 0.9548511047070125, 0.849340430455913, 0.9979605043829545, 0.9555785123966942]",1189,4.64453125,134.0418961000032,E_KD_from_RF,A,1001,per_route_set_seed,0.9324717616733122,-0.01815286566220431,57.03382789999887
0.9891459074733097,0.9208683479243863,0.9505744883826825,0.9341089561080252,"[0.8921174652241113, 0.9457659372026641, 0.89891355692017, 0.9974485289788227, 0.9362992922143579]",3397,13.26953125,98.0114698000034,D_Small_MLP,B,1001,per_route_set_seed,0.9336509589010845,0.0004579972069407301,
0.9900355871886121,0.9330378146103879,0.9455667043787767,0.9383563483133959,"[0.8840764331210191, 0.9539347408829175, 0.9001399906672889, 0.9980980019216064, 0.9555325749741469]",3397,13.26953125,134.65829329999542,E_KD_from_RF,B,1001,per_route_set_seed,0.9305941228111907,0.007762225502205178,57.03382789999887
0.986405693950178,0.9012612657020996,0.9434119473863763,0.9200508066144044,"[0.8706739526411658, 0.935969868173258, 0.8713574982231699, 0.9966411314083677, 0.9256115826260609]",1189,4.64453125,97.37642690000212,D_Small_MLP,A,2024,per_route_set_seed,0.9111751838527745,0.008875622761629898,
