seed,student,route,weighting,kl_teacher_to_student_T4,js_T4,l1_T4,hard_agreement_T1,top2_overlap_T1,margin_abs_error_T1,teacher_correct_student_wrong_rate,teacher_wrong_student_correct_rate,macro_class_hard_agreement_T1,macro_class_kl_T4
3141,student_B,scratch,row_weighted,0.19405809024278092,0.04083017115332696,0.38204906316012416,0.9902843643985009,0.8790163585016252,0.11668505458504622,0.008703220191470844,0.0009768920623079518,0.961424621833739,0.5214572104016264
5678,student_A,rf_kd,exact_group_balanced,0.01634947315685273,0.004429947616055899,0.061180068070815656,0.9903274633588068,0.972625244582272,0.017361447139473924,0.00878650275039687,0.0008860338907963229,0.9416984429261545,0.09116861113226515
5678,student_A,rf_kd,row_weighted,0.021882797572361962,0.006058293293082605,0.07076050465391613,0.9878865384273814,0.9724338821690556,0.025362505777396453,0.011189854531891086,0.0009236070407275182,0.9376813390256575,0.11312454213847627
5678,student_A,scratch,exact_group_balanced,0.18689096236398295,0.039397010951365774,0.3851090800265776,0.9903828404769816,0.8825543618710082,0.11917031934816699,0.008731125632222099,0.0008860338907963229,0.957991007348828,0.5179716687486261
5678,student_A,scratch,row_weighted,0.18938590515589723,0.04055061200531887,0.3903968560729586,0.9888634304896894,0.8808546917461502,0.12372547028891401,0.010195200795722989,0.0009413687145876627,0.9562527499024384,0.5282660560312072
5678,student_B,rf_kd,exact_group_balanced,0.013699771640271913,0.003716582314830546,0.05270602372712372,0.9914719238010854,0.9772030863513863,0.01318025591785995,0.007734337505076236,0.0007937386938383726,0.9487655097542396,0.07768362487222993
5678,student_B,rf_kd,row_weighted,0.018391244102085275,0.005104411243161915,0.06120646571636779,0.9895561357702349,0.976900943144882,0.01835964895050351,0.009609065558338218,0.0008347986714267952,0.946415458336201,0.09554215162212434
5678,student_B,scratch,exact_group_balanced,0.23553473849364384,0.04278716773859663,0.3780953578241191,0.9911027430132536,0.8852955292206593,0.10949698855202687,0.007992764056558497,0.0008860338907963229,0.9603515728810985,0.4924626504560111
5678,student_B,scratch,row_weighted,0.2368822665307749,0.043833441458786156,0.3830985443622859,0.9896271824656756,0.8842471714534378,0.11446590419538862,0.009395925472016483,0.0009591303884478073,0.9580381754529673,0.5030119928008512
8192,student_A,rf_kd,exact_group_balanced,0.014441927609240294,0.003942011388706828,0.05765742208355889,0.9900690368073245,0.9847251449034592,0.0174481496244966,0.00897109314431277,0.0009598700483626833,0.9382576721002545,0.08357018149932846
8192,student_A,rf_kd,row_weighted,0.01979985236563934,0.005529612551316948,0.06689522471343667,0.9876201133194792,0.9790145823342392,0.025911416761677956,0.011367471270492532,0.001012415410028241,0.9353673038598,0.10538620756254384
8192,student_A,scratch,exact_group_balanced,0.20737532282239393,0.04205099992282825,0.4078193143213197,0.9851035552109868,0.950871266659283,0.1348915674833791,0.013788902425517776,0.0010890833241038137,0.9462390882683808,0.5519538193846243
8192,student_A,scratch,row_weighted,0.20890191137689368,0.04303370463938605,0.41240907713319525,0.9828777463988206,0.9437221363741319,0.1401705917978577,0.015914459778689542,0.0011900321486296868,0.941380394183293,0.5592315134004835
8192,student_B,rf_kd,exact_group_balanced,0.01167128450435538,0.003185300940657576,0.05015609373167182,0.992210285376749,0.9859711300623916,0.01190652107435624,0.006903680732454683,0.0008860338907963229,0.9540124875122293,0.06765175214342423
8192,student_B,rf_kd,row_weighted,0.015948470834398615,0.004456462064992726,0.05795976409020295,0.9902843643985009,0.9802312569936591,0.01652350361362686,0.008774266886911422,0.0009413687145876627,0.9509618214358306,0.08439732911849859
8192,student_B,scratch,exact_group_balanced,0.1853310785010313,0.03677280320805332,0.3702318740410964,0.9927640565584966,0.9575534389190387,0.10568548054012188,0.006202237235574261,0.0010152471665374535,0.9706965270949475,0.5018572225887284
8192,student_B,scratch,row_weighted,0.18656382480116676,0.03755461595407097,0.3737129702966469,0.991882915045914,0.9522033356423509,0.10845405107641458,0.007015861174757109,0.0010834621054688193,0.9704753997579525,0.5065890580680646
9999,student_A,rf_kd,exact_group_balanced,0.015080763784986032,0.0040820068783057615,0.05883925022505288,0.9899767416103666,0.9676782220253258,0.017433304331300904,0.0091003064200539,0.000904492930187913,0.9386366880727003,0.07942747612474098
9999,student_A,rf_kd,row_weighted,0.020235172446241758,0.0056054312058707615,0.06777591373507573,0.9871583097991155,0.9626738423829062,0.025677748769915493,0.01186479813857658,0.0009591303884478073,0.9327798013227143,0.10039381548426626
9999,student_A,scratch,exact_group_balanced,0.18634337070373394,0.044117333476523364,0.41665533636985314,0.9895706427437516,0.8877690404991324,0.11816528046887348,0.009414110089710931,0.0010152471665374535,0.9494387323245942,0.42813399945823355
9999,student_A,scratch,row_weighted,0.18866106059483176,0.04506480174038886,0.42057734199647,0.9870339780820945,0.8808990959308005,0.12296211954109441,0.011847036464716435,0.0011189854531891085,0.9426175764972815,0.44013301933518206
9999,student_B,rf_kd,exact_group_balanced,0.013894084801362165,0.00376494487603459,0.05472274710994543,0.9905120537527227,0.9707239635249382,0.01346123323814832,0.008546535238306199,0.0009414110089710931,0.9452633427061807,0.07319112526651668
9999,student_B,rf_kd,row_weighted,0.01833780535202045,0.005085157703574014,0.06266942495310512,0.9881707252091437,0.96561339940676,0.018992056724400647,0.010834621054688194,0.0009946537361680964,0.9399547217568323,0.09055856465520333
9999,student_B,scratch,exact_group_balanced,0.23915248901181774,0.04633877401924979,0.4095236362430683,0.991084283973862,0.888193598405139,0.12375392319870115,0.007882009820208957,0.0010337062059290435,0.9601546551737652,0.6594044261477647
9999,student_B,scratch,row_weighted,0.23953215512503898,0.04709197798336282,0.41255948308180107,0.9899824159428785,0.8814230653096747,0.12802969616569654,0.008934121951652723,0.0010834621054688193,0.9600354939016655,0.6633726196131329
