view,seed,category,student,route,accuracy_minus_row_level,macro_f1_minus_row_level
pure_group_representative,456,teacher,,I_SMOTE_MLP_teacher,0.00040678541265304347,-0.002085084404860882
inverse_test_group_size,456,student,student_A,D_Small_MLP,0.0020705500649544906,-2.2012327543508015e-05
pure_group_representative,456,student,student_A,D_Small_MLP,0.0020705500649544906,-2.2012327543508015e-05
inverse_test_group_size,456,student,student_A,E_KD_from_RF,0.0033146491894628927,0.006110028050592575
pure_group_representative,456,student,student_A,E_KD_from_RF,0.0033146491894628927,0.006110028050592464
inverse_test_group_size,456,student,student_A,E2_KD_from_MLP,0.0019438410101485504,-0.001306178543908465
pure_group_representative,456,student,student_A,E2_KD_from_MLP,0.0019438410101485504,-0.001306178543908798
inverse_test_group_size,456,student,student_A,F_KD_from_CL_MLP_fair,0.0023011665839457462,0.0008286183860611862
pure_group_representative,456,student,student_A,F_KD_from_CL_MLP_fair,0.0023011665839457462,0.0008286183860611862
inverse_test_group_size,456,student,student_A,F_KD_from_CL_MLP_ext,0.002283362615702167,0.00011423743044025603
pure_group_representative,456,student,student_A,F_KD_from_CL_MLP_ext,0.002283362615702167,0.00011423743044003398
inverse_test_group_size,456,student,student_A,G_KD_random_pacing,0.0022147778468133428,-0.00025784511676085753
pure_group_representative,456,student,student_A,G_KD_random_pacing,0.0022147778468133428,-0.00025784511676085753
inverse_test_group_size,456,student,student_A,I_KD_from_SMOTE_MLP,0.002437311220617966,0.0016140064709323498
pure_group_representative,456,student,student_A,I_KD_from_SMOTE_MLP,0.002437311220617966,0.0016140064709323498
inverse_test_group_size,456,student,student_A,J_CoDistill_RF_CL,0.0027194482001693387,0.0023096190243584447
pure_group_representative,456,student,student_A,J_CoDistill_RF_CL,0.0027194482001693387,0.0023096190243583337
inverse_test_group_size,456,student,student_B,D_Small_MLP,0.0011133534150606916,-0.0023592843797595187
pure_group_representative,456,student,student_B,D_Small_MLP,0.0011133534150606916,-0.0023592843797596297
inverse_test_group_size,456,student,student_B,E_KD_from_RF,0.0011708649242131441,-0.001648354531767482
pure_group_representative,456,student,student_B,E_KD_from_RF,0.0011708649242131441,-0.001648354531767482
inverse_test_group_size,456,student,student_B,E2_KD_from_MLP,0.0013605375292730093,-0.0029343432537257685
pure_group_representative,456,student,student_B,E2_KD_from_MLP,0.0013605375292730093,-0.0029343432537259906
inverse_test_group_size,456,student,student_B,F_KD_from_CL_MLP_fair,0.0016412374833780774,-0.001736360360591216
pure_group_representative,456,student,student_B,F_KD_from_CL_MLP_fair,0.0016412374833780774,-0.001736360360591327
inverse_test_group_size,456,student,student_B,F_KD_from_CL_MLP_ext,0.0015440607276999696,-0.0025546930982353055
pure_group_representative,456,student,student_B,F_KD_from_CL_MLP_ext,0.0015440607276999696,-0.0025546930982353055
inverse_test_group_size,456,student,student_B,G_KD_random_pacing,0.0019762896545524322,0.0006003195641675063
pure_group_representative,456,student,student_B,G_KD_random_pacing,0.0019762896545524322,0.0006003195641672843
inverse_test_group_size,456,student,student_B,I_KD_from_SMOTE_MLP,0.00217404540479893,0.0002143785903685469
pure_group_representative,456,student,student_B,I_KD_from_SMOTE_MLP,0.00217404540479893,0.00021437859036832485
inverse_test_group_size,456,student,student_B,J_CoDistill_RF_CL,0.0012602860702785046,-0.0036366429681725654
pure_group_representative,456,student,student_B,J_CoDistill_RF_CL,0.0012602860702785046,-0.0036366429681727874
inverse_test_group_size,789,teacher,,A_RF_500_uncalibrated,2.2843885003953623e-05,-0.0008860626320761344
pure_group_representative,789,teacher,,A_RF_500_uncalibrated,2.2843885003953623e-05,-0.0008860626320763565
inverse_test_group_size,789,teacher,,A_calibrated_RF_KD_teacher,5.488040506707037e-05,-0.000908231108968649
pure_group_representative,789,teacher,,A_calibrated_RF_KD_teacher,5.488040506707037e-05,-0.000908231108968649
inverse_test_group_size,789,teacher,,B_Full_MLP,0.0019034783980915737,-0.0004182834051714712
pure_group_representative,789,teacher,,B_Full_MLP,0.0019034783980915737,-0.00041828340517169327
inverse_test_group_size,789,teacher,,C_CL_MLP_loss_fair,0.002138152227121215,-0.0004512467421009525
pure_group_representative,789,teacher,,C_CL_MLP_loss_fair,0.002138152227121215,-0.0004512467421010635
inverse_test_group_size,789,teacher,,C_CL_MLP_loss_ext,0.0023203229888688615,0.0012629328551098107
pure_group_representative,789,teacher,,C_CL_MLP_loss_ext,0.0023203229888688615,0.0012629328551096997
inverse_test_group_size,789,teacher,,C2_CL_MLP_domain,0.0021831111567077732,-4.462908928104525e-05
pure_group_representative,789,teacher,,C2_CL_MLP_domain,0.0021831111567077732,-4.46290892812673e-05
inverse_test_group_size,789,teacher,,G_random_pacing_teacher,0.0017903045295736275,-0.0006836638433296294
pure_group_representative,789,teacher,,G_random_pacing_teacher,0.0017903045295736275,-0.0006836638433296294
inverse_test_group_size,789,teacher,,I_SMOTE_MLP_teacher,0.00022395957975740455,-0.0021143548748145946
pure_group_representative,789,teacher,,I_SMOTE_MLP_teacher,0.00022395957975740455,-0.0021143548748147056
inverse_test_group_size,789,student,student_A,D_Small_MLP,0.001966727189535944,0.0004583446676421632
pure_group_representative,789,student,student_A,D_Small_MLP,0.001966727189535944,0.00045834466764205217
inverse_test_group_size,789,student,student_A,E_KD_from_RF,0.003622831640484936,0.006911082527284562
pure_group_representative,789,student,student_A,E_KD_from_RF,0.003622831640484936,0.006911082527284229
inverse_test_group_size,789,student,student_A,E2_KD_from_MLP,0.002326229448694317,0.0007959193172903944
pure_group_representative,789,student,student_A,E2_KD_from_MLP,0.002326229448694317,0.0007959193172902834
inverse_test_group_size,789,student,student_A,F_KD_from_CL_MLP_fair,0.0020691976282749547,-0.0008004867657435133
pure_group_representative,789,student,student_A,F_KD_from_CL_MLP_fair,0.0020691976282749547,-0.0008004867657437353
inverse_test_group_size,789,student,student_A,F_KD_from_CL_MLP_ext,0.0022412354426248893,0.0002442694080286856
pure_group_representative,789,student,student_A,F_KD_from_CL_MLP_ext,0.0022412354426248893,0.00024426940802846353
inverse_test_group_size,789,student,student_A,G_KD_random_pacing,0.002064685899512253,-0.0004382521292111141
pure_group_representative,789,student,student_A,G_KD_random_pacing,0.002064685899512253,-0.00043825212921122514
inverse_test_group_size,789,student,student_A,I_KD_from_SMOTE_MLP,0.0020385981336581427,0.000884309240849035
pure_group_representative,789,student,student_A,I_KD_from_SMOTE_MLP,0.0020385981336581427,0.0008843092408488129
inverse_test_group_size,789,student,student_A,J_CoDistill_RF_CL,0.002548435286924833,0.0008868346067365529
pure_group_representative,789,student,student_A,J_CoDistill_RF_CL,0.002548435286924833,0.0008868346067363309
inverse_test_group_size,789,student,student_B,D_Small_MLP,0.0015531687739922528,-0.0007496598382260578
pure_group_representative,789,student,student_B,D_Small_MLP,0.0015531687739922528,-0.0007496598382260578
inverse_test_group_size,789,student,student_B,E_KD_from_RF,0.0024286998874334387,0.0012233253688490597
pure_group_representative,789,student,student_B,E_KD_from_RF,0.0024286998874334387,0.0012233253688489487
inverse_test_group_size,789,student,student_B,E2_KD_from_MLP,0.0015649816936432748,-0.0018195366758536613
pure_group_representative,789,student,student_B,E2_KD_from_MLP,0.0015649816936432748,-0.0018195366758537723
inverse_test_group_size,789,student,student_B,F_KD_from_CL_MLP_fair,0.002220356771064913,0.0003732920888461777
pure_group_representative,789,student,student_B,F_KD_from_CL_MLP_fair,0.002220356771064913,0.0003732920888460667
inverse_test_group_size,789,student,student_B,F_KD_from_CL_MLP_ext,0.0017934215272734644,-0.0005869457925475885
