view,seed,category,student,route,class_id,class_name,precision,recall,f1,support
row_level,42,teacher,,G_random_pacing_teacher,4,TDMA,0.9524291497975709,0.9438314944834504,0.9481108312342569,997.0
inverse_test_group_size,42,teacher,,G_random_pacing_teacher,0,Blackhole,0.7537138389366705,0.9497536945812806,0.8404533565823894,1014.9999999999998
inverse_test_group_size,42,teacher,,G_random_pacing_teacher,1,Flooding,0.8692449355432781,0.9957805907172996,0.928220255653884,474.0
inverse_test_group_size,42,teacher,,G_random_pacing_teacher,2,Grayhole,0.9226713532513181,0.833333333333333,0.8757297748123434,1890.0000000000002
inverse_test_group_size,42,teacher,,G_random_pacing_teacher,3,Normal,0.998812112426512,0.9960246551689521,0.9974164362905252,49807.00000000006
inverse_test_group_size,42,teacher,,G_random_pacing_teacher,4,TDMA,0.9539406345957011,0.9433198380566802,0.9486005089058525,988.0
pure_group_representative,42,teacher,,G_random_pacing_teacher,0,Blackhole,0.7537138389366693,0.9497536945812808,0.8404533565823888,1015.0
pure_group_representative,42,teacher,,G_random_pacing_teacher,1,Flooding,0.8692449355432781,0.9957805907172996,0.928220255653884,474.0
pure_group_representative,42,teacher,,G_random_pacing_teacher,2,Grayhole,0.9226713532513181,0.8333333333333334,0.8757297748123436,1890.0
pure_group_representative,42,teacher,,G_random_pacing_teacher,3,Normal,0.998812112426512,0.9960246551689521,0.9974164362905252,49807.0
pure_group_representative,42,teacher,,G_random_pacing_teacher,4,TDMA,0.9539406345957011,0.9433198380566802,0.9486005089058525,988.0
row_level,42,teacher,,I_SMOTE_MLP_teacher,0,Blackhole,0.9348086124401914,0.9830188679245283,0.9583077866339669,1590.0
row_level,42,teacher,,I_SMOTE_MLP_teacher,1,Flooding,0.891500904159132,0.9959595959595959,0.9408396946564885,495.0
row_level,42,teacher,,I_SMOTE_MLP_teacher,2,Grayhole,0.9426987060998152,0.949278734295021,0.945977277996754,2149.0
row_level,42,teacher,,I_SMOTE_MLP_teacher,3,Normal,0.9988413197172035,0.995907577834345,0.9973722914011177,51070.0
row_level,42,teacher,,I_SMOTE_MLP_teacher,4,TDMA,0.9485887096774194,0.9438314944834504,0.9462041226747109,997.0
inverse_test_group_size,42,teacher,,I_SMOTE_MLP_teacher,0,Blackhole,0.9210770659238641,0.9773399014778326,0.9483747609942647,1014.9999999999998
inverse_test_group_size,42,teacher,,I_SMOTE_MLP_teacher,1,Flooding,0.8872180451127819,0.9957805907172996,0.9383697813121272,474.0
inverse_test_group_size,42,teacher,,I_SMOTE_MLP_teacher,2,Grayhole,0.9396147839666841,0.9550264550264548,0.9472579375491995,1890.0000000000002
inverse_test_group_size,42,teacher,,I_SMOTE_MLP_teacher,3,Normal,0.9988119928316855,0.9959242676732186,0.997366040012064,49807.00000000006
inverse_test_group_size,42,teacher,,I_SMOTE_MLP_teacher,4,TDMA,0.9500509683995922,0.9433198380566802,0.94667343829355,988.0
pure_group_representative,42,teacher,,I_SMOTE_MLP_teacher,0,Blackhole,0.9210770659238626,0.9773399014778326,0.9483747609942639,1015.0
pure_group_representative,42,teacher,,I_SMOTE_MLP_teacher,1,Flooding,0.8872180451127819,0.9957805907172996,0.9383697813121272,474.0
pure_group_representative,42,teacher,,I_SMOTE_MLP_teacher,2,Grayhole,0.939614783966684,0.955026455026455,0.9472579375491997,1890.0
pure_group_representative,42,teacher,,I_SMOTE_MLP_teacher,3,Normal,0.9988119928316855,0.9959242676732186,0.997366040012064,49807.0
pure_group_representative,42,teacher,,I_SMOTE_MLP_teacher,4,TDMA,0.9500509683995922,0.9433198380566802,0.94667343829355,988.0
row_level,42,student,student_A,D_Small_MLP,0,Blackhole,0.8193163320672816,0.949685534591195,0.8796970579667929,1590.0
row_level,42,student,student_A,D_Small_MLP,1,Flooding,0.8707964601769912,0.9939393939393939,0.9283018867924528,495.0
row_level,42,student,student_A,D_Small_MLP,2,Grayhole,0.7784918594687232,0.8455095393206142,0.8106178898059335,2149.0
row_level,42,student,student_A,D_Small_MLP,3,Normal,0.9988329311231554,0.9887409438026239,0.9937613162245139,51070.0
row_level,42,student,student_A,D_Small_MLP,4,TDMA,0.9353233830845771,0.9428284854563691,0.939060939060939,997.0
inverse_test_group_size,42,student,student_A,D_Small_MLP,0,Blackhole,0.789211618257263,0.936945812807882,0.8567567567567578,1014.9999999999998
inverse_test_group_size,42,student,student_A,D_Small_MLP,1,Flooding,0.8690036900369004,0.9936708860759493,0.9271653543307087,474.0
inverse_test_group_size,42,student,student_A,D_Small_MLP,2,Grayhole,0.7667447306791574,0.8661375661375658,0.8134161490683232,1890.0000000000002
inverse_test_group_size,42,student,student_A,D_Small_MLP,3,Normal,0.9988032211606727,0.9886160579838176,0.9936835307650395,49807.00000000006
inverse_test_group_size,42,student,student_A,D_Small_MLP,4,TDMA,0.9375629405840886,0.9423076923076923,0.9399293286219081,988.0
pure_group_representative,42,student,student_A,D_Small_MLP,0,Blackhole,0.7892116182572614,0.9369458128078818,0.8567567567567568,1015.0
