view,family,seed,left_route,right_route,left_macro_f1,right_macro_f1,macro_f1_delta,class_0_Blackhole_f1_delta,class_1_Flooding_f1_delta,class_2_Grayhole_f1_delta,class_3_Normal_f1_delta,class_4_TDMA_f1_delta
row_level,student_B,5678,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9278603596062996,0.9229564929296974,0.004903866676602253,0.0036728762916214963,0.0017920756088695144,0.004605853640612723,0.0005306967805962515,0.013917831061312835
row_level,student_B,8192,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9303748644143696,0.919640816514488,0.010734047899881527,0.015178557748082078,0.0017920756088695144,0.022791343282689946,0.00046208115625667734,0.01344618170350853
row_level,student_B,9999,J_CoDistill_RF_CL,E2_KD_from_MLP,0.9194025926859227,0.9257282576776019,-0.006325664991679192,-0.02561669640263886,0.0,-0.018266891259592022,0.00023587824975801475,0.01201938445407702
row_level,student_B,42,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9238105329292277,0.9146174424788155,0.009193090450412167,0.0028167296116471396,0.0008968919872797132,0.02522327520939094,0.0005995742126962966,0.016428981231046635
row_level,student_B,123,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9285369505911362,0.9189843307481647,0.00955261984297151,0.009565114491954074,0.0026855557411697983,0.02461910569243786,0.000363763006011264,0.01052956028328389
row_level,student_B,456,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9316156272368339,0.9236280675674176,0.007987559669416333,0.011013523041569884,0.0026855557411697983,0.014676159130385669,0.00048173224007930227,0.011080828193877568
row_level,student_B,789,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9202382108790002,0.9132491481637549,0.006989062715245242,0.0015198104100913046,0.003577337242039902,0.015507977158993325,0.0005505528470638454,0.01378963591803739
row_level,student_B,1001,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9227501663799978,0.930467844045032,-0.007717677665034173,-0.028832114633424277,0.003577337242039902,-0.026247085761470834,0.0004818390432107522,0.01243163578447326
row_level,student_B,2024,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9249537317555967,0.9205929825277972,0.004360749227799499,-0.0032656852040111595,0.004467424950885479,0.010452904915709382,0.0005208783751449175,0.009628223101269429
row_level,student_B,3141,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9462094728700835,0.9216609637098451,0.02454850916023843,0.0499610871721482,0.0026855557411697983,0.058544029272236564,0.0005603010127536168,0.010991572602884414
row_level,student_B,5678,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9278603596062996,0.9155864184841249,0.012273941122174725,0.021605418088122996,0.006242538258384278,0.021357552295713678,0.0006093481316820082,0.011554848836972331
row_level,student_B,8192,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9303748644143696,0.9179914060615421,0.012383458352827503,0.02359597377645195,0.0,0.023960750937052966,0.0005013531797378734,0.013859213870894838
row_level,student_B,9999,J_CoDistill_RF_CL,F_KD_from_CL_MLP_fair,0.9194025926859227,0.9266604075187198,-0.007257814832797083,-0.029347750159009145,-0.0008986052480004503,-0.018029416491286088,0.00044228744719720936,0.011544410287113505
inverse_test_group_size,teacher,42,C_CL_MLP_loss_fair,B_Full_MLP,0.9139783864497154,0.9206774954437066,-0.006699108993991176,-0.017672978085499946,0.0036942933147574575,-0.01959900000556769,3.023715911132374e-05,5.190264724264093e-05
inverse_test_group_size,teacher,123,C_CL_MLP_loss_fair,B_Full_MLP,0.9160180114247835,0.9192202189382603,-0.0032022075134768846,-0.00974022894930704,0.004488232074438936,-0.0077735637471831875,-0.0001007365616507716,-0.0028847403836828045
inverse_test_group_size,teacher,456,C_CL_MLP_loss_fair,B_Full_MLP,0.9110024241325538,0.9203926605193598,-0.009390236386805917,-0.027675622152256496,0.008128801570182032,-0.03090928940250648,0.00015132781368099035,0.0033536002368698137
inverse_test_group_size,teacher,789,C_CL_MLP_loss_fair,B_Full_MLP,0.9116204146462408,0.9202930226918022,-0.00867260804556147,-0.01993729644172504,-0.0009244841398087233,-0.021426436549916827,-0.00012101132885788957,-0.0009538117674992019
inverse_test_group_size,teacher,1001,C_CL_MLP_loss_fair,B_Full_MLP,0.9140088255635124,0.9219124992620321,-0.007903673698519742,-0.022526195230156754,-0.0072186435913870195,-0.012032134142390238,-7.061911055350478e-05,0.0023292235818896945
