view,category,student,route,class_id,class_name,f1_mean,f1_sample_sd,f1_values_json
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_fair,2,Grayhole,0.8780870392055149,0.01040391317911252,"[0.8573040045121264,0.8772026431718062,0.8834924965893586,0.8674631842178383,0.8951656708310701,0.8766896551724136,0.882721088435374,0.8747653526414586,0.8795472918350846,0.8865190046486191]"
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_fair,3,Normal,0.9973327315786321,3.7726934985858895e-05,"[0.9973559069842259,0.9974063052919414,0.9973659870511119,0.9973055036094187,0.9973155846897841,0.9972954767099323,0.9972954223263389,0.9972954223263389,0.9973357998130034,0.9973559069842259]"
inverse_test_group_size,student,student_B,F_KD_from_CL_MLP_fair,4,TDMA,0.9435336157659415,0.0017663310811931426,"[0.9442190669371197,0.9442755825734549,0.9446981227803145,0.9395161290322581,0.9428426909458776,0.9446981227803145,0.9433198380566802,0.9442190669371197,0.94188984335523,0.9456576942610462]"
inverse_test_group_size,student,student_B,G_KD_random_pacing,0,Blackhole,0.8454456030042898,0.012819641201696432,"[0.8348826914563975,0.8322266489597175,0.8531405332128342,0.8526645768025087,0.8682882055988992,0.8501338090990194,0.8503155996393157,0.82336832496577,0.8411470186618124,0.8482886216466244]"
inverse_test_group_size,student,student_B,G_KD_random_pacing,1,Flooding,0.9343850560738647,0.003072534166289485,"[0.9346534653465347,0.9355797819623389,0.9374379344587885,0.9374379344587885,0.9273084479371316,0.9355797819623389,0.932806324110672,0.9318854886475815,0.9346534653465347,0.9365079365079365]"
inverse_test_group_size,student,student_B,G_KD_random_pacing,2,Grayhole,0.8838025864278063,0.008459174410418782,"[0.8747591522157993,0.8743109151047409,0.8891304347826086,0.886283065175893,0.8994082840236686,0.8816148390616472,0.8870748299319724,0.8717672413793102,0.8840736728060671,0.8896034297963555]"
inverse_test_group_size,student,student_B,G_KD_random_pacing,3,Normal,0.9973679942111302,0.00012473262803662475,"[0.9974365418446846,0.9974970094791971,0.9974466202903213,0.997396226035729,0.9973559069842259,0.9970735827995052,0.9973055036094187,0.9972752591520124,0.9974466202903213,0.9974466716258872]"
inverse_test_group_size,student,student_B,G_KD_random_pacing,4,TDMA,0.944026176489014,0.003639745055612418,"[0.945712836123795,0.945712836123795,0.9452332657200812,0.9451776649746193,0.9471007121057986,0.9347389558232931,0.9409389197375063,0.9447541814495691,0.9447541814495691,0.9461382113821138]"
inverse_test_group_size,student,student_B,I_KD_from_SMOTE_MLP,0,Blackhole,0.8416147886079323,0.012103883004981868,"[0.8494825964252124,0.8513200555812889,0.8299765807962535,0.8366313851817776,0.8530207394048703,0.8588129496402888,0.845667870036102,0.819438252340616,0.8347338935574238,0.8370635631154887]"
inverse_test_group_size,student,student_B,I_KD_from_SMOTE_MLP,1,Flooding,0.9382767820689534,0.0005293587939578761,"[0.9383697813121272,0.9383697813121272,0.9383697813121272,0.9374379344587885,0.9383697813121272,0.9383697813121272,0.9383697813121272,0.9374379344587885,0.9393034825870646,0.9383697813121272]"
inverse_test_group_size,student,student_B,I_KD_from_SMOTE_MLP,2,Grayhole,0.8837571855749768,0.009005406700145503,"[0.8932554434413167,0.8957716132507403,0.8768864177918981,0.8823687752355319,0.8890097932535366,0.8890701468189228,0.8853173522201035,0.8655899260881467,0.8841430859583554,0.8761593016912164]"
inverse_test_group_size,student,student_B,I_KD_from_SMOTE_MLP,3,Normal,0.9972732733552185,0.00016339640451314434,"[0.9974365418446846,0.9974769558618055,0.9970837271977635,0.9971846280692581,0.9973861465768573,0.9971744879387839,0.9972955310913386,0.9972954767099323,0.9974164362905252,0.996982801971236]"
inverse_test_group_size,student,student_B,I_KD_from_SMOTE_MLP,4,TDMA,0.9374503859804937,0.005243566725864819,"[0.9427848101265823,0.9380976346250629,0.937625754527163,0.9324662331165583,0.942366026289181,0.9371543489190548,0.9366834170854271,0.9404641775983855,0.9414141414141414,0.9254473161033797]"
inverse_test_group_size,student,student_B,J_CoDistill_RF_CL,0,Blackhole,0.8497846508121503,0.02170236397423321,"[0.8372943327239498,0.856196783349102,0.8540344514959213,0.8317460317460325,0.8403880070546746,0.8383610986042331,0.9068746952706008,0.8440366972477076,0.8525345622119828,0.8363798484172988]"
