view,category,student,route,accuracy_mean,accuracy_sample_sd,macro_precision_mean,macro_precision_sample_sd,macro_recall_mean,macro_recall_sample_sd,macro_f1_mean,macro_f1_sample_sd
pure_group_representative,student,student_B,D_Small_MLP,0.9903957618045556,0.000722817999238263,0.9136898965066763,0.006202241936780596,0.9538059408902411,0.004757706505069072,0.9319770911692423,0.005611586415939037
pure_group_representative,student,student_B,E2_KD_from_MLP,0.9888876582862629,0.0004021642519380337,0.9032083845658395,0.003250480405651479,0.9448497216046275,0.0027556719833838083,0.9215835485872791,0.002876842856999347
pure_group_representative,student,student_B,E_KD_from_RF,0.9908572377893454,0.0013368346778216678,0.9214829357583747,0.0109948287492286,0.9448531311608204,0.008211352559102422,0.9317732676073731,0.010205966679572357
pure_group_representative,student,student_B,F_KD_from_CL_MLP_ext,0.9888175139365748,0.0005558728913000106,0.9023851527896756,0.0045470645709400894,0.9443805772748316,0.0035868462918030846,0.9210193860050893,0.0041155760787446065
pure_group_representative,student,student_B,F_KD_from_CL_MLP_fair,0.9885461660575185,0.0006418185551574361,0.901020995978641,0.004739208810720445,0.9430828459125493,0.004497641677084726,0.9194704307828745,0.004908449571929105
pure_group_representative,student,student_B,G_KD_random_pacing,0.9888452024956621,0.0005713396568910485,0.902625652625422,0.0044009813511510665,0.9435392921563961,0.004007701171139163,0.9210054832412208,0.004161055434997958
pure_group_representative,student,student_B,I_KD_from_SMOTE_MLP,0.9886033890796323,0.000682024800156922,0.9010880662218833,0.005336062398698863,0.9415689996404701,0.004140779107659726,0.9196744831175145,0.004508448134092411
pure_group_representative,student,student_B,J_CoDistill_RF_CL,0.9899564366670358,0.0009913208802926235,0.9131392810925784,0.008292754329795761,0.9440038618437754,0.005703039858606145,0.9267960925544367,0.007437330374496165
pure_group_representative,teacher,,A_RF_500_uncalibrated,0.9968231993207073,5.180968591334019e-05,0.9761796363483027,0.00043703582384680746,0.9817959100638239,0.0004176079088614329,0.9785277702775106,0.0003608835801818957
pure_group_representative,teacher,,A_calibrated_RF_KD_teacher,0.9967825894340459,5.709386155552915e-05,0.9772711947957695,0.000675157497953653,0.980382653273318,0.0005568141552561851,0.9784388654802287,0.00043012683912611323
pure_group_representative,teacher,,B_Full_MLP,0.9888876582862627,0.0003104681412126893,0.9030549063549062,0.002322310923163491,0.9452345041370546,0.0011730941524843868,0.9213879731467565,0.002011027686211075
pure_group_representative,teacher,,C2_CL_MLP_domain,0.9879517849891091,0.0003623544904427388,0.8965223866791163,0.0024542234566897105,0.9382207789614011,0.001440861565017916,0.9148010179365549,0.002294519163000945
pure_group_representative,teacher,,C_CL_MLP_loss_ext,0.9884501790526821,0.000395715769074791,0.9001253059779405,0.0029411239110061203,0.9436751357215586,0.002980772846690465,0.9184577082199832,0.002808924629767932
pure_group_representative,teacher,,C_CL_MLP_loss_fair,0.9878465684645772,0.00045450738270917456,0.8960082451549457,0.003152622284084451,0.9400359912288071,0.0019733827120952717,0.9143067310046105,0.0031496588216759444
pure_group_representative,teacher,,G_random_pacing_teacher,0.9886163104072064,0.0005769446511891319,0.9010123138616131,0.004657183087575535,0.9446517888142697,0.0021559814301226345,0.9195676780048195,0.0038313885860601225
pure_group_representative,teacher,,I_SMOTE_MLP_teacher,0.992374570827334,0.0012311393594522193,0.9319860150953694,0.010373764593674223,0.9698334505806565,0.008582848623940079,0.9499130224782897,0.009568990594841693
row_level,student,student_A,D_Small_MLP,0.9847800216692422,0.001944152033756892,0.8948453274070237,0.00876483725701452,0.9390603120509058,0.004567611463482094,0.9147922276378905,0.005658203562415463
row_level,student,student_A,E2_KD_from_MLP,0.9857160618816717,0.0005663223358507414,0.8995092884976875,0.0032889389126374994,0.933126667044889,0.002883214379398282,0.9143207990030675,0.0032035604446533712
row_level,student,student_A,E_KD_from_RF,0.9859203211310634,0.0007807081285368921,0.905722390463653,0.005098659026802772,0.925018619058317,0.0045643299835562276,0.9137807036842556,0.004545713542959567
row_level,student,student_A,F_KD_from_CL_MLP_ext,0.9853608284044688,0.0005404791714731502,0.8979944525418958,0.003198854920102104,0.9316211332316918,0.0035744321778444707,0.9122958349868882,0.0033303346717487555
row_level,student,student_A,F_KD_from_CL_MLP_fair,0.9858421697660787,0.0005247932608252613,0.9009488454659571,0.003249360641417714,0.9348369678832974,0.0036078868164287604,0.9153568725303188,0.003083747349887809
row_level,student,student_A,G_KD_random_pacing,0.9858048702509725,0.0005783266954095753,0.9004781496388803,0.0035422188261567426,0.9345464551478007,0.004186791439001796,0.9149695025980671,0.0036143572253085326
row_level,student,student_A,I_KD_from_SMOTE_MLP,0.9852329443526756,0.0011505153853277206,0.895849526646184,0.007196571961897255,0.931222114098677,0.006321444229642132,0.9115766922405542,0.006552193125405791
row_level,student,student_A,J_CoDistill_RF_CL,0.986463828351184,0.0011157840856663853,0.9067015300645289,0.006810039828255161,0.9309067909572912,0.005905884491315501,0.917462515299208,0.006553400768822203
row_level,student,student_B,D_Small_MLP,0.9889984192110264,0.0009319266654275765,0.917568842051,0.005877908222253048,0.9511564366188366,0.005362277234218897,0.9328671717288431,0.0057274432607507305
row_level,student,student_B,E2_KD_from_MLP,0.9871014724427629,0.0006327965903965531,0.9079322594327734,0.003924808617628014,0.9411787089948073,0.003987373971464809,0.922492270400412,0.0037307985710510814
row_level,student,student_B,E_KD_from_RF,0.9891227509280475,0.0018137250252625683,0.9242288055609663,0.011045706308870765,0.9420589534803456,0.0102111364407072,0.9321418755524803,0.010930384531076216
row_level,student,student_B,F_KD_from_CL_MLP_ext,0.9870570682581125,0.0008644845883185977,0.9070841058040804,0.005450621016221703,0.9409064618681929,0.004829933248359105,0.9221126730319963,0.005210862317282533
row_level,student,student_B,F_KD_from_CL_MLP_fair,0.9866929539439797,0.0008915817740039676,0.9056799058486904,0.005278997058106068,0.939124915282091,0.005339079419397622,0.9203439011305212,0.00545811395801432
row_level,student,student_B,G_KD_random_pacing,0.9868883323564412,0.0006759711319739917,0.9059811453930534,0.004145509386371878,0.9392899087040073,0.004150696180230093,0.9210072571062466,0.003970928151449453
